"","V1","V2","V3"
"634",1506021087,3069.080001,0.002
"635",1506021115,3069.080001,0.003
"636",1506021144,3063.400049,0.0028
"637",1506021174,3063.400049,0.0033
"638",1506021202,3063.400049,0.0017
"639",1506021231,3063.400049,0.0023
"640",1506021262,3063.400049,0.0051
"641",1506021289,3063.400049,0.0025
"642",1506021318,3063.400049,0.0016
"643",1506021347,3063.400049,0.0048
"644",1506021376,3063.400049,0.0021
"645",1506021405,3063.400049,0.0021
"646",1506021435,3064.33649264,0.0047
"647",1506021463,3064.33649264,0.002
"648",1506021492,3064.33649264,0.0034
"649",1506021521,3064.33649264,0.0048
"650",1506021550,3064.33649264,0.0055
"651",1506021579,3064.33649264,0.0034
"652",1506021609,3065.32639364,0.0021
"653",1506021637,3065.32639364,0.0053
"654",1506021666,3064.8950005,0.0011
"655",1506021695,3064.8950005,0.0057
"656",1506021724,3064.8950005,0.0027
"657",1506021753,3064.8950005,0.0051
"658",1506021783,3060.3950005,0.0052
"659",1506021813,3060.3950005,0.0023
"660",1506021840,3060.3950005,0.0055
"661",1506021870,3060.3950005,0.0016
"662",1506021898,3060.3950005,0.0041
"663",1506021927,3051.190005,0.0032
"664",1506021957,3051.190005,0.0032
"665",1506021987,3051.190005,0.003
"666",1506022015,3051.190005,0.0047
"667",1506022045,3051.190005,0.0025
"668",1506022074,3051.190005,0.0057
"669",1506022104,3051.190005,0.002
"670",1506022133,3051.190005,0.003
"671",1506022163,3051.190005,0.0034
"672",1506022192,3051.190005,0.0018
"673",1506022221,3051.190005,0.0057
"674",1506022255,3051.190005,0.0045
"675",1506022285,3051.190005,0.0028
"676",1506022313,3051.190005,0.0034
"677",1506022343,3051.22185213,0.0042
"678",1506022370,3051.22185213,0.0016
"679",1506022396,3057.92649175,0.0048
"680",1506022424,3057.92649175,0.003
"681",1506022454,3057.92649175,0.0022
"682",1506022482,3057.92649175,0.0024
"683",1506022510,3057.92649175,0.0054
"684",1506022540,3057.92649175,0.0031
"685",1506022570,3057.92649175,0.0041
"686",1506022598,3057.92649175,0.0042
"687",1506022628,3049.0550005,0.0034
"688",1506022656,3049.0550005,0.0015
"689",1506022685,3049.0550005,0.0037
"690",1506022716,3049.0550005,0.0018
"691",1506022744,3048.7092671,0.0028
"692",1506022772,3048.7092671,0.0052
"693",1506022802,3047.2034177,0.0026
"694",1506022832,3051.1538127,0.004
"695",1506022861,3051.1538127,0.001
"696",1506022890,3058.2551025,0.0056
"697",1506022919,3058.2551025,0.0053
"698",1506022950,3056.74240379,0.0052
"699",1506022978,3056.74240379,0.0017
"700",1506023007,3055.22970507,0.0043
"701",1506023037,3055.22970507,0.0033
"702",1506023065,3056.070321,0.0046
"703",1506023094,3056.070321,0.0012
"704",1506023123,3054.250139,0.0038
"705",1506023152,3054.250139,0.0014
"706",1506023181,3054.250139,0.0051
"707",1506023210,3054.250139,0.0031
"708",1506023240,3054.250139,0.0028
"709",1506023268,3054.250139,0.0016
"710",1506023297,3054.250139,0.0017
"711",1506023326,3054.250139,0.0031
"712",1506023357,3055.6151655,0.0038
"713",1506023385,3055.6151655,0.0014
"714",1506023417,3064.550955,0.0032
"715",1506023443,3064.550955,0.0054
"716",1506023474,3078.0055145,0.0052
